time old	time	flow (L/s)	raw (NTU)	sed (NTU)	filter 1 (NTU)	filter 2 (NTU)	filter (NTU)	coag (mg/L)	Cl (mg/L)	Temperature
1/16/2016 12:20	42385.51	17	2.13	0.61	0.1	0.09	0.095	7.87	1.1	18
1/16/2016 18:00	42385.75	17	2.36	0.87	0	0	0	10.01	1	19
1/16/2016 23:00	42385.96	9	2.16	0.21	0	0	0	8.03	0.99	19
1/17/2016 15:30	42386.65	17	2.08	0.3	0	0	0	8.78	1	18
1/18/2016 5:39	42387.24	1	2.16	0.51	0.1	0.05	0.075	9.16	0.98	18
1/18/2016 13:20	42387.56	16	2.12	0.39	0	0	0	10.24	1.2	18
1/18/2016 17:40	42387.74	16	2.16	0.63	0	0	0	9.83	0.89	18
1/19/2016 12:00	42388.50	17	2.09	0.68	0.18	0.11	0.145	10.89	1.1	18
1/19/2016 18:50	42388.78	16	2.08	0.58	0	0	0	11.56	0.82	17
1/19/2016 23:30	42388.98	16	1.57	0.52	0	0	0	11.01	0.86	17
1/20/2016 12:30	42389.52	17	2.32	0.9	0.17	0.24	0.205	8.34	1.2	17
1/20/2016 17:00	42389.71	18	2.36	0.9	0.21	0.18	0.195	8.16	1.05	17
1/21/2016 0:20	42390.01	18	3.1	0.51	0	0	0	6.91	1.06	17
1/21/2016 5:50	42390.24	18	2.09	0.36	0	0	0	5.13	0.74	17
1/21/2016 13:00	42390.54	18	2.12	1.1	0.32	0.45	0.385	5.89	1.08	17
1/21/2016 17:00	42390.71	18	1.14	0.9	0.51	0.26	0.385	8.1	0.91	17
1/22/2016 0:15	42391.01	17	2.01	0.51	0	0	0	7.09	0.9	17
1/22/2016 6:45	42391.28	18	2.1	0.57	0	0	0	8.1	0.84	17
1/22/2016 12:30	42391.52	18	2.7	0.89	0.1	0.16	0.13	8.22	1.1	17
1/22/2016 17:00	42391.71	16	2.15	0.55	0	0	0	6.08	0.82	17
1/22/2016 23:40	42391.99	18	2.09	0.62	0	0.6	0.3	6.1	0.9	17
1/23/2016 6:00	42392.25	16	3.1	0.54	0	0	0	7.94	1	17
1/23/2016 13:10	42392.55	14	2.7	0.31	0	0	0	8.14	1.01	16
1/23/2016 17:30	42392.73	14	2.08	0.93	0	0.1	0.05	6.19	0.8	16
1/23/2016 23:00	42392.96	14	2.1	0.84	0.16	0.11	0.135	6.74	1.08	16
1/24/2016 6:00	42393.25	15	2.03	0.86	0.17	0.1	0.135	6.82	1	15
1/24/2016 13:24	42393.56	15	2.02	0.2	0	0	0	7.64	0.79	15
1/24/2016 17:40	42393.74	15	2.06	0.3	0	0	0	7.88	0.72	15
1/24/2016 23:00	42393.96	14	2.05	0.28	0	0	0	7.24	1.1	15
1/25/2016 6:00	42394.25	18	1.8	0.1	0	0	0	7.17	1.05	15
1/25/2016 13:10	42394.55	15	1.86	0.62	0	0	0	6.01	0.91	15
1/25/2016 17:30	42394.73	15	1.82	0.55	0	0	0	6.82	0.84	16
1/25/2016 23:30	42394.98	16	1.82	0.3	0	0	0	6.34	1.18	16
1/26/2016 13:20	42395.56	18	2.38	0.75	0.31	0.25	0.28	6.37	1	16
1/26/2016 17:45	42395.74	16	2.08	0.35	0	0	0	6	0.86	17
1/26/2016 23:40	42395.99	16	2.05	0.3	0	0	0	7.1	1.1	17
1/27/2016 12:00	42396.50	18	1.97	0.68	0		0	7.18	0.85	17
1/27/2016 17:45	42396.74	15	2	0.53	0.06	0	0.03	7.83	0.72	18
1/28/2016 5:00	42397.21	14	2.11	0.6	0	0	0	7.51	1.08	18
1/28/2016 13:00	42397.54	16	1.62	0.37	0.06	0.05	0.055	8.83	1.05	18
1/28/2016 23:50	42397.99	14	2.1	0.72	0	0	0	8.82	1.1	18
1/29/2016 13:20	42398.56	16.5	2.3	1.6	0.8	0.72	0.76	10.84	1.18	17
1/29/2016 18:25	42398.77	17	1.96	0.73	0.14	0.21	0.175	13.05	0.93	16
1/29/2016 23:30	42398.98	18	2.09	0.39	0	0	0	12.16	0.9	16
1/30/2016 13:40	42399.57	17	2	0.53	0	0	0	11.34	1	17
1/31/2016 6:20	42400.26	17	1.9	0.16	0	0	0	9.06	0.99	16
1/31/2016 11:30	42400.48	16	2.1	0.35	0	0	0	7.84	1.1	18
1/31/2016 18:35	42400.77	16	1.65	0.11	0	0	0	6.47	0.99	18
2/1/2016 6:00	42401.25	16	1.75	0.05	0	0	0	6.01	0.9	17
2/1/2016 11:30	42401.48	16	1.94	0.2	0	0	0	6.34	0.9	18
2/1/2016 12:00	42401.50	9	2.1	0.21	0	0	0	7.03	0.9	18
2/2/2016 12:30	42402.52	16	2.12	0.52	0	0	0	7.82	1.1	17
2/2/2016 18:20	42402.76	15	1.94	0.81	0.1	0.12	0.11	7.04	0.96	18
2/3/2016 5:00	42403.21	15	1.63	0.15	0	0	0	7.04	1	17
2/3/2016 12:00	42403.50	14	2.01	0.25	0	0	0	6.86	0.9	17
2/3/2016 13:20	42403.56	15	1.84	0.22	0	0	0	6.24	1	18
2/3/2016 18:00	42403.75	15	2.14	0.26	0	0	0	6.9	1	18
2/4/2016 13:00	42404.54	14	1.9	0.34	0	0	0	6.84	1.15	18
2/4/2016 18:25	42404.77	13	1.96	0.18	0	0	0	7.96	1.01	18
2/5/2016 12:45	42405.53	12	1.79	0.3	0	0	0	60.1	1.01	17
2/5/2016 12:50	42405.53	17	3.2	0.26	0	0	0	10.53	1.04	17
2/5/2016 18:00	42405.75	15	3	0.52	0	0	0	8.72	0.74	17
2/5/2016 23:00	42405.96	15	2.89	0.41	0	0	0	8.78	1.09	17
2/6/2016 13:15	42406.55	15	3.6	0.47	0	0	0	8.63	0.88	16
2/6/2016 23:30	42406.98	15	3.84	0.3	0	0	0	8.94	1.1	16
2/7/2016 13:09	42407.55	15	5.15	1.49	0.52	0.36	0.44	12.33	0.7	16
2/7/2016 18:35	42407.77	15	4.54	1.41	0.33	0.66	0.495	12.84	1	16
2/8/2016 6:00	42408.25	15	3.09	0.55	0	0	0	12.41	0.9	15
2/8/2016 13:05	42408.55	17	2.29	0.25	0	0	0	8.63	0.9	15
2/8/2016 18:00	42408.75	15	2.12	0.26	0	0	0	9.78		15
2/8/2016 23:00	42408.96	15	1.9	0.2	0	0	0	9	1	15
2/9/2016 13:15	42409.55	19	2	0.85	0.09	0.04	0.065	10.57	0.89	14
2/9/2016 18:00	42409.75	16	2.12	0.56	0	0	0	8.96	1	14
2/10/2016 6:00	42410.25	15	2	0.32	0	0	0	7.17	0.82	14
2/10/2016 13:25	42410.56	20	2.23	0.59	0.13	0.1	0.115	7.03	0.9	14
2/10/2016 18:30	42410.77	15	3.17	0.72	0.09	0.11	0.1	11.24	0.84	20
2/10/2016 18:30	42410.77	15	2.09	0.91	0.32	0.44	0.38	6.89		14
2/10/2016 23:00	42410.96	16	2	0.5	0	0	0	7.57	1	14
2/11/2016 13:15	42411.55	18	1.79	0.53	0	0	0	8.01	1.1	14
2/11/2016 18:35	42411.77	19	2.11	0.91	0.1	0.21	0.155	8.19	0.9	14
2/12/2016 5:20	42412.22	20	2.1	0.29	0	0	0	8.16	0.98	14
2/12/2016 5:50	42412.24	16	2.04	0.41	0	0	0	9.12	0.91	14
2/12/2016 12:00	42412.50	20	2.24	0.45	0	0	0	7.87		14
2/12/2016 18:10	42412.76	16	2.25	0.27	0	0	0	9.98	0.21	14
2/13/2016 11:00	42413.46	19	2.04	0.4	0	0	0	8.32	1.18	15
2/13/2016 18:20	42413.76	19	2.19	0.78	0.01	0.02	0.015	8.96	1.1	15
2/14/2016 11:00	42414.46	16	4	0.68	0	0	0	9.71	1.1	15
2/14/2016 18:40	42414.78	18	3.96	1	0.9	0.56	0.73	11.13	0.9	15
2/15/2016 6:50	42415.28	17	3.01	0.5	0	0	0	9.1	0.91	15
2/15/2016 13:00	42415.54	17	2.56	0.84	0	0	0	8.38	1.15	16
2/16/2016 11:00	42416.46	16	2.77	0.6	0	0	0	1.17	1.2	17
2/16/2016 18:25	42416.77	17	2.41	0.6	0	0	0	8.78	1.05	18
2/16/2016 23:00	42416.96	18	2.36	0.41	0	0	0	8.01	0.9	18
2/17/2016 6:00	42417.25	15	2.54	0.32	0	0	0	8.72		18
2/17/2016 12:00	42417.50	18	2.12	0.33	0	0	0	8.78	1.1	18
2/17/2016 18:00	42417.75	17	2.4	0.57	0.01	0.03	0.02	7.18	1.05	18
2/18/2016 5:10	42418.22	18	2.36	0.36	0	0	0	9.1	1	18
2/18/2016 13:00	42418.54	18	2.49	0.3	0	0	0	7.12	1.15	18
2/18/2016 18:05	42418.75	16	3.37	0.36	0	0	0	7.63	0.64	18
2/19/2016 12:10	42419.51	17	1.9	0.5	0.03	0	0.015	6.52	0.77	18
2/19/2016 18:00	42419.75	17	2.09	0.32	0	0	0	7.04		18
2/20/2016 0:45	42420.03	17	2.22	0.4	0	0	0	7.54	1.15	17
